title,body,source
Kamala Harris returns to campaign trail in Trump country to back 'AOC of Tennessee',"Progressive firebrand David Hogg campaigned for congressional candidate Aftyn Behn ahead of the upcoming special election. (Credit: tnhsdems via Instagram - Saturday, Nov. 15, 2025)

For the first time since losing the 2024 presidential election, former Vice President Kamala Harris returned to the campaign trail on Tuesday, this time in a surprise appearance with Democratic congressional candidate Aftyn Behn. Fox News confirmed that Harris headlined a canvassing kickoff event for the Tennessee state representative after visiting Fisk University, a historically Black college, and before hosting a book tour event for her memoir ""107 Days"" at the Ryman Auditorium in Nashville, Tennessee.",Fox News
Billionaire Tom Steyer announces bid for California governor,"Billionaire hedge fund founder Tom Steyer said he's running to be the next governor of California, seeking to replace Gov. Gavin Newsom, whose second and final term ends in January 2027. The 68-year-old Democrat is no stranger to politics. He ran a long-shot campaign for president in 2020, played a role in advocating for President Trump's impeachment and spent millions to help pass California's Proposition 50.",Washington Times
Trump's congressional gerrymandering push is getting complicated for the GOP,"As President Donald Trump laid it out to reporters this summer, the plan was simple. Republicans, the president said, were ""entitled"" to five more conservative-leaning U.S. House seats in Texas and additional ones in other red states. The president broke with more than a century of political tradition in directing the GOP to redraw those maps in the middle of the decade to avoid losing control of Congress in next year's midterms.",Boston Herald
"House Dem, 79, indicates he may not retire after judges strike down Texas congressional map","'The Big Weekend Show' panel discuss California Gov. Gavin Newsom's victory lap after the state passed Prop 50, which is expected to add more Democratic representation. Rep. Lloyd Doggett, D-Texas, suggested that he no longer plans to retire after federal judges ruled against a Republican-backed plan to alter Texas' congressional districts on Tuesday.",Fox News
"Biden's green energy fiasco, not Trump's reforms, is jacking up your electric bill","Interior Secretary Doug Burgum discusses 'delivering prosperity at home' and 'peace abroad' on 'America Reports.'

There's a battle to define a narrative about what's to blame for rising electricity prices. Some claim higher electricity prices are due to President Donald Trump's ""One Big Beautiful Bill,"" which curtailed subsidies for ""cheap"" wind and solar installations. Others blame AI's rapidly expanding appetite for electricity, while some blame inflation. None of these charges hold up under scrutiny.",Fox News
Appeals court pauses California law requiring companies to report climate-related financial risk,"SACRAMENTO, Calif. -- A U.S. appeals court on Tuesday paused a California law set to take effect in January requiring large companies to report every two years on how climate change could hurt them financially. Another new law requiring major companies to annually disclose their carbon emissions can stay in place for now, the court ruled.",ABC News
Federal court blocks Texas from using new congressional map for 2026 elections,"Washington -- A federal court on Tuesday blocked Texas from using its newly redrawn congressional map in the upcoming 2026 midterm elections, a setback for Republicans as they work to maintain their narrow majority in the House. In a decision authored by U.S. District Judge Jeffrey Brown, the court ordered the state to instead use House district lines adopted by the Texas legislature in 2021 for next year's congressional elections. The dispute was heard by a three-judge panel, which divided 2-1 in finding that voting rights and advocacy groups that challenged the redistricting plan were likely to prove that the 2025 map is an unconstitutional racial gerrymander.",CBS News
Trump hasn't lost Hispanic voters yet  --  but warning lights are...,Is President Donald Trump losing the winning coalition he built just a year ago? He's been the subject of premature political obituaries before -- but Republicans are worried about signs his gains with Hispanic voters are evaporating. Trump stunned pundits last year by very nearly winning the Hispanic vote outright: A constituency Democrats had come to take for granted suddenly seemed ready to realign with Republicans. But the numbers from the off-year elections earlier this month tell a different story.,New York Post
'Affordability' is a prime reason to vote AGAINST Gavin Newsom,"Gov. Gavin Newsom has embraced the ""affordability"" talking point in the wake of socialist Zohran Mamdani's victory in the New York mayoral race -- yet California lags the nation on that front, with inflation well above the national average. Inflation is the result of real-world policies that drive up costs -- and Golden State policies are toxic. The Bureau of Labor Statistics collects consumer price index (CPI) measurements in 23 regions, reporting the info in staggered fashion every few months.",New York Post
Gavin Newsom Roasts 'Piggy' Trump in Tweet Storm After Viral Bloomberg Reporter Interview,"California Gov. Gavin Newsom roasted President Donald Trump as a ""piggy"" after the president went viral Tuesday for calling a female Bloomberg jouranlist ""piggy"" while she pressed him on his relationship with Jeffrey Epstein. ""Quiet, piggy,"" Newsom tweeted from his own X account on Tuesday. The governor's post was coupled with a photo of the president looking disgruntled as he tried to remove a right-fitting suit jacket.",TheWrap
Trump turns up heat on fellow Republicans in push to redraw congressional maps ahead of midterms,"'The Big Weekend Show' panel discuss California Gov. Gavin Newsom's victory lap after the state passed Prop 50, which is expected to add more Democratic representation. President Donald Trump is amplifying his political targeting of Indiana Republicans who have been resisting calls from the president to move forward with congressional redistricting. Trump on Tuesday, for a third straight day, vowed to back primary challenges against state Republican lawmakers in the solidly red Midwestern state who didn't support his push to draw new maps in Indiana, which would create another GOP-leaning congressional district.",Fox News
California refinery closures spark pipeline race to West Coast,"NEW YORK, Nov 18 (Reuters) - A race is on among energy companies to build a major fuel pipeline to the U.S. West Coast, a potentially lucrative prize as the planned closure of two California refineries threatens to send gasoline prices in the isolated market soaring. Motorists in West Coast states have long paid some of the country's highest fuel prices due to limited regional production and minimal connectivity to the Gulf Coast refining hub. There are no pipelines delivering fuel to California from across the Rocky Mountains and only a few pipelines deliver to the West Coast from the Gulf Coast, according to the Energy Information Administration.",Reuters
"Exclusive | Front row at NYFW, a lavish wedding featured in Vogue: Now one of the...","Chiara Ferragni, a wildly glamorous fashion influencer who still boasts more than 28 million Instagram followers, was once a fixture on the Big Apple fashion scene. At New York Fashion Week after New York Fashion Week, she would post pictures of herself sitting front row at coveted catwalk shows, cozying up to Karlie Kloss and ""The Real Housewives of New York"" star Rebecca Minkoff, and using landmarks like the Empire State Building as backdrops in enviable Instagram snaps shared with social media fans. And when she donned a crocheted lace Christian Dior dress to marry Italian rapper Federico Leonardo ""Fedez"" Lucia in 2018, her extravagant wedding at a 19th-century Sicilian palazzo was featured in American Vogue, not to mention observed by a documentary film and reality TV crew. But the 38-year-old Italian -- who used her fame to build a fortune in the millions of dollars -- has had a spectacular fall from grace and is now facing five years in prison after being indicted on charges of aggravated fraud in her home country.",New York Post
California high schools at odds after alleged trans athlete displaces female in cross-country top 10,"Ayala High School girls' cross-country coaches Carolina Cobo and Matthew Ullman revealed a recent incident where a trans athlete finished in a top-10 spot in a league final, dropping one of their female athletes out of the top 10. A junior varsity cross-country meet was the site of a budding dispute between two California high schools over the validity of trans athletes' records in girls' sports. During a league final last week, an alleged trans athlete for Claremont High School finished in fourth place in the JV girls' competition. Meanwhile, a female athlete for Ayala High School had to settle for 11th place, missing out on a podium finish by one spot.",Fox News
Hundreds of National Guard troops deployed to Portland and Chicago are being sent home,"Hundreds of National Guard troops deployed to Chicago and Portland, Oregon, are being sent home, and those who will remain will continue to stay off the streets amid court battles over their domestic mission by the Trump administration, a defense official said Monday. The withdrawal of soldiers -- sent from California and Texas -- is part of a larger change to troop deployments after President Donald Trump began his immigration crackdown in various cities with Democratic leadership. The official was not authorized to publicly discuss the issue and requested anonymity. U.S.",ABC News
Trump admin sues over California law banning ICE from wearing face masks to shield identities,"Homeland Security Secretary Kristi Noem responds to the targeting of law enforcement officers on 'Jesse Watters Primetime.'

The Trump administration filed a lawsuit on Monday challenging California's law banning federal immigration agents from wearing face masks to hide their identities, arguing that the measure is unconstitutional. The lawsuit claims that the state does not have the authority to restrict federal agents. California Gov. Gavin Newsom signed the No Secret Police Act and the No Vigilantes Act into law in September.",Fox News
Gavin Newsom declared as the Democratic Party's 2028 'frontrunner' by Politico,"Panelists discuss California Gov. Gavin Newsom emerging as a leader of the Democratic Party on the ""Journal Editorial Report.""

California Gov. Gavin Newsom was declared the Democratic frontrunner to win back the White House in 2028 by a column in Politico on Saturday. Politico senior political columnist Jonathan Martin wrote that Newsom has positioned himself over the past two years as the most viable Democratic contender for the presidency.",Fox News
Trump administration sues California over law banning masked federal agents,"LOS ANGELES (AP) -- The Trump administration filed a lawsuit Monday over California's new laws banning federal agents from wearing masks and requiring them to have identification while conducting operations in the state. The federal government has argued the laws threaten the safety of officers who are facing ""unprecedented"" harassment, doxing, and violence and said it will not comply with them. California became the first state to ban most law enforcement officers, including federal immigration agents, from covering their faces while conducting official business under a bill that was signed in September by Gov. Gavin Newsom.",Boston Herald
"Hundreds of National Guard troops deployed to Portland, Chicago being sent home","Hundreds of National Guard troops deployed to Chicago and Portland, Oregon, are being sent home, and those who will remain will continue to stay off the streets amid court battles over their domestic mission by the Trump administration, a defense official said Monday. The withdrawal of soldiers -- sent from California and Texas -- is part of a larger change to troop deployments after President Trump began his immigration crackdown in various cities with Democratic leadership. The official was not authorized to publicly discuss the issue and requested anonymity. U.S.",Washington Times
