title,body,sentiment,source
This union leader has a warning for Newsom,"With help from Noah Baustin, Camille von Kaenel, Saqib Rahim and Garrett Downs

DRAMA ON THE DOCKS: California's clean energy transition is putting a spotlight on state leaders' efforts to usher in new technology without displacing existing jobs. One of the state's largest unions is giving Gov. Gavin Newsom a failing grade. Local officials approved a plan this week to speed up adoption of zero-emission equipment at the ports of Los Angeles and Long Beach.",0.01960784313725483,POLITICO
Hawaii Gov. Green predicts Newsom won't satisfy Americans' desire for a peacemaking leader in 2028,"SCOTTSDALE, Ariz. -- Gov. Josh Green, a Hawaii Democrat who has floated the possibility of running for president, predicted that Americans will want a peacemaker once Donald Trump's second term is over -- and California Gov. Gavin Newsom may not fit the bill.",0.05882352941176472,Newsday
How Newsom and Trump Have Made California the Unlikely Center of 2025 Politics,"Thanks to Newsom, Trump and redistricting, the deep-blue state is in the thick of national politics. It's the most populous state in the country, the world's fourth-largest economy and home to two of the last three speakers of the House. Yet California does not always find itself at the center of the national political debate, in large part for its deep-blue nature and its relatively minor role in the presidential nomination process. That has changed in 2025.",0.1294117647058823,The New York Times
Hawaii Gov. Green predicts Newsom won't satisfy Americans' desire for a peacemaking leader in 2028,"SCOTTSDALE, Ariz. -- Gov. Josh Green, a Hawaii Democrat who has floated the possibility of running for president, predicted that Americans will want a peacemaker once Donald Trump's second term is over -- and California Gov. Gavin Newsom may not fit the bill.",0.05882352941176472,ABC News
Hawaii Gov. Green Predicts Newsom Won't Satisfy Americans' Desire for a Peacemaking Leader in 2028,"SCOTTSDALE, Ariz. (AP) -- Gov. Josh Green, a Hawaii Democrat who has floated the possibility of running for president, predicted that Americans will want a peacemaker once Donald Trump's second term is over -- and California Gov. Gavin Newsom may not fit the bill.",-0.08235294117647063,U.S. News & World Report
Here's the salary of every governor in all 50 US states,"Kathy Hochul, Gavin Newsom, and Josh Shapiro are among the highest-paid US governors. In some states, being the governor doesn't automatically make you a top earner. There's a wide range in what state governors earn each year, from $70,000 in Maine to $250,000 in New York. Across all 50 states, governors earn an average official annual salary of $167,128 and are subject to federal and state income taxes, except in states without them, such as Florida or Texas.",0.2705882352941176,Business Insider
"California voters passed Prop. 36, Sacramento has failed to deliver","The most essential role of government is public safety. When state leaders, like Gov. Gavin Newsom, fail to fund what voters mandated, they fail that basic duty. A year ago this month, Californians sent a clear message at the ballot box: they're fed up with retail theft, open-air drug scenes, and a justice system that prioritizes criminals over victims.",0.03529411764705892,Daily News
"Even a full reservoir wouldn't have ensured water in Palisades fire, California officials say","Gov. Gavin Newsom called for an investigation. State officials determined that even if the reservoir had been full, the water system still would have been quickly overwhelmed and lost pressure. In January, when crews fighting the fast-spreading Palisades fire were hampered by low water pressure and dry hydrants, Gov.",-0.2627450980392156,Los Angeles Times
'Dead in the water': Gavin Newsom slams Trump on 'reckless' oil drilling plan,"Gavin Newsom has slammed Donald Trump's oil drilling plans for California and Florida. The governor of California called the plans ""reckless"" in a statement released on Thursday. Interior Secretary Doug Burgum called the oil drilling plan a ""forward-thinking"" project, which he says would make American energy ""dominant"" for years to come. He said, ""The Biden administration slammed the brakes on offshore oil and gas leasing and crippled the long-term pipeline of America's offshore production.",-0.05098039215686279,Raw Story
Eric Swalwell enters California governor's race,"""I'm running for Governor because prices are too high and people are scared,"" he wrote. A Swalwell candidacy was on nobody's radar just a few months ago. His decision to enter the race late in the year -- when other candidates have had as much as a year's head start -- is the latest sign of an unsettled Democratic field in the race to succeed Gavin Newsom, with no decisive frontrunner. The leading Democrat, Katie Porter, has been hobbled by unflattering viral videos, while former Health Secretary Xavier Becerra and former Los Angeles mayor Antonio Villaraigosa have struggled to break into double-digits in the polls.",-0.1764705882352942,POLITICO
"Report shows how Eaton fire moved west, into Altadena, well before many were alerted","A new report commissioned by Gov. Gavin Newsom on the spread of the Palisades and Eaton fires suggests that the movement of the Eaton fire from east Pasadena into west Altadena occurred earlier than originally reported, leaving questions on whether evacuation orders should have come sooner. The Eaton fire, which started at 6:18 p.m. Jan.",-0.2,Daily News
No signs California won't move forward with redistricting despite a court blocking similar plan in Texas,"After a panel of federal judges in Texas this week struck down that state's recently redrawn congressional maps, voters in California might be wondering if that means the Golden State will halt its own mid-decade redistricting plan. After all, when Gov. Gavin Newsom and other California Democrats began talking about redistricting early on, they framed it as a counter to the gerrymandering in Texas that was meant to benefit Republicans there. In selling the idea to voters that California should adopt new maps that benefit Democrats, Newsom said, just before he signed a bill to call the special election, ""We're responding (to) what occurred in Texas; we're neutralizing what occurred.""

However, now that Texas may not be able to move forward with its redistricting plan -- the recent decision could still be overturned by the U.S.",0.223529411764706,Daily News
